	Region	Irrigated	Population	Under.14	Life.expectancy	Literacy.Rate	Unemployment
Cameroon	Africa	210	15.8	42.4	54.6	63.4	30
Egypt	Africa	32460	69.5	34.6	63.7	51.4	11.5
Ghana	Africa	60	19.9	41.2	57.2	64.5	20
Kenya	Africa	660	30.8	42	47.5	78.1	50
Namibia	Africa	60	1.8	42.7	40.6	38	35
South.Africa	Africa	12700	43.6	32	48.1	81.8	30
Zambia	Africa	460	9.8	47.4	37.3	78.2	50
Zimbabwe	Africa	1930	11.4	38.7	37.1	85	50
Bangladesh	Asia	31000	131.3	35	60.54	56	35.2
China	Asia	498720	1273.1	25	71.6	81.5	10
Hong.Kong	Asia	20	7.2	17.7	79.7	92.2	4.5
Indonesia	Asia	45970	228.4	30.1	68.3	83.8	17.5
Japan	Asia	27820	126.8	14.6	80.8	99	4.7
Laos	Asia	1250	5.6	42.8	53.5	57	5.7
Malaysia	Asia	2941	22.2	34.5	71.1	83.5	2.8
Pakistan	Asia	171100	144.6	40.5	61.5	42.7	6
Vietnam	Asia	18600	79.9	32.1	69.6	93.7	25
Czech.Republic	Europe	240	10.3	16.1	74.6	99.9	8.7
Denmark	Europe	4350	5.3	18.6	76.7	100	5.3
Finland	Europe	640	5.2	18	77.6	100	9.8
France	Europe	16300	59.6	18.7	78.9	99	9.7
Germany	Europe	4750	83	15.6	77.6	99	9.9
Italy	Europe	27100	57.7	14.17	79.1	98	10.4
Luxembourg	Europe	10	0.44	18.9	77.3	100	2.7
Portugal	Europe	6300	10.1	17	75.9	87.4	4.3
United.Kingdom	Europe	1080	59.6	18.9	77.8	99	5.5
Argentina	South.America	17000	37.4	26.5	75.2	96.2	15
Brazil	South.America	28000	174.5	28.6	63.24	83.3	7.1
Bolivia	South.America	1750	8.3	38.5	64.1	83.1	11.4
Chile	South.America	12650	15.3	27.3	75.9	95.2	9

